"id","map_base_layer","bbox_id","center_id","scale"
"1e345f3a3516b934f00ee87abff7079574ddcc80","World Imagery","0","0","433342.9156562622"
"2ee9d0d5a855c4520602cad36856f855dc1d40d4","World Imagery","1","2","866685.8313125244"
