"id","bbox","item_type","summary_id"
"C67kPYv","[B@4bc107f4","data","2538"
"C67kQoQ","[B@6df14b06","data","2542"
"C67kRjP","[B@7c74af4d","data","2550"
"C67kRQ2","[B@50a12810","data","2554"
"C67pzz9","[B@44d5bcb","data","2576"
"C67pBhx","[B@72c56ea1","data","2580"
