"full_url","tiny_url"
"http://cida-test.er.usgs.gov/coastalchangehazardsportal/ui/item/C6g92eE","http://go.usa.gov/jjej"
"http://cida-test.er.usgs.gov/coastalchangehazardsportal/ui/item/C6fu499","http://go.usa.gov/jDZ3"
"http://cida-test.er.usgs.gov/coastalchangehazardsportal/ui/item/C6d5H2n","http://go.usa.gov/jWJW"
