# 0
1871-07-01	-959.7787154072449	10.8
1841-07-01	-1286.2634704088246	10.8
1936-06-01	-1861.9562994921946	10.8
1899-07-01	-840.5702368652788	10.8
2000-09-22	-1622.251576830096	0.0
# 1
1871-07-01	-1012.955840362802	10.8
1841-07-01	-1279.618674203773	10.8
1936-06-01	-1891.2033052293934	10.8
1899-07-01	-833.9888182691396	10.8
2000-09-22	-1564.3651187061164	0.0
# 2
1871-07-01	-1050.9352521632459	10.8
1841-07-01	-1272.6677883046486	10.8
1936-06-01	-1917.265956752707	10.8
1899-07-01	-828.6158684886144	10.8
2000-09-22	-1527.7462043492837	0.0
# 3
1871-07-01	-1039.890678458691	10.8
1841-07-01	-1263.904288860923	10.8
1936-06-01	-1878.5803115891902	10.8
1899-07-01	-824.1206730869933	10.8
2000-09-22	-1504.610709461771	0.0
# 4
1871-07-01	-1009.0342559696403	10.8
1841-07-01	-1255.572621527436	10.8
1936-06-01	-1459.064712374077	10.8
1899-07-01	-819.6254776849195	10.8
2000-09-22	-1479.5617532653675	0.0
# 5
1871-07-01	-959.6884729784919	10.8
1841-07-01	-1244.2345945722388	10.8
1936-06-01	-1455.016991788935	10.8
1899-07-01	-814.7954785502939	10.8
2000-09-22	-1463.6285372013501	0.0
# 6
1871-07-01	-898.5301710981474	10.8
1841-07-01	-1230.2468668665697	10.8
1936-06-01	-1450.3992629246077	10.8
1899-07-01	-809.8508665060032	10.8
2000-09-22	-1463.6528937775706	0.0
# 7
1871-07-01	-855.3084391464264	10.8
1841-07-01	-1210.6855667431114	10.8
1936-06-01	-1440.9169564808756	10.8
1899-07-01	-804.9062544614072	10.8
2000-09-22	-1454.2710894978304	0.0
# 8
1871-07-01	-814.7835944089229	10.8
1841-07-01	-1188.6580964344325	10.8
1936-06-01	-1428.779257485361	10.8
1899-07-01	-800.1742513197962	10.8
2000-09-22	-1443.0777530359414	0.0
# 9
1977-07-01	-1728.444551806597	3.2
1977-07-01	-1852.2180105122281	3.2
1871-07-01	-777.0065574992614	10.8
1871-07-01	-538.4190775141161	10.8
1841-07-01	-1160.4547067189208	10.8
1936-06-01	-1413.5107937718979	10.8
1899-07-01	-795.6311616815111	10.8
2000-09-22	-1432.7825474317417	0.0
# 10
1871-07-01	-757.2170934066249	10.8
1871-07-01	-506.48469713248363	10.8
1841-07-01	-1138.3751568270234	10.8
1936-06-01	-1397.6360009134135	10.8
1899-07-01	-789.7604448214477	10.8
2000-09-22	-1426.9231425591427	0.0
# 11
1977-07-01	-1548.939203913961	3.2
1871-07-01	-734.1636104345822	10.8
1871-07-01	-436.30012617728926	10.8
1841-07-01	-1117.0734224933633	10.8
1936-06-01	-1385.0048757952022	10.8
1899-07-01	-783.3354526726786	10.8
2000-09-22	-1417.41823596936	0.0
# 12
1977-07-01	-1514.67511259327	3.2
1871-07-01	-706.9147006261466	10.8
1871-07-01	-408.82554493809283	10.8
1841-07-01	-1093.5817704041915	10.8
1936-06-01	-1374.9445463384009	10.8
1899-07-01	-776.7722751122757	10.8
2000-09-22	-1401.0238013374287	0.0
# 13
1977-07-01	-1487.2531900028498	3.2
1871-07-01	-654.962170181327	10.8
1871-07-01	-390.831687027851	10.8
1841-07-01	-1068.6274821193322	10.8
1936-06-01	-1366.6097873323897	10.8
1899-07-01	-770.1428012476964	10.8
2000-09-22	-1387.7315944184236	0.0
# 14
1977-07-01	-1461.3807835939585	3.2
1871-07-01	-625.0543384726069	10.8
1871-07-01	-371.8357319830362	10.8
1841-07-01	-1037.7048294828628	10.8
1936-06-01	-1359.0641083972741	10.8
1899-07-01	-763.5133273830154	10.8
2000-09-22	-1377.0804892624415	0.0
# 15
1977-07-01	-1438.5294082329963	3.2
1971-07-01	-1742.494596688662	3.2
1871-07-01	-620.8344752810327	10.8
1871-07-01	-354.0211993667815	10.8
1841-07-01	-999.5075459961588	10.8
1936-06-01	-1348.0833490468535	10.8
1899-07-01	-754.4327164069688	10.8
2000-09-22	-1363.697585187926	0.0
# 16
1977-07-01	-1416.5685456317237	3.2
1971-07-01	-1649.8789103286344	3.2
1871-07-01	-625.3227084071718	10.8
1871-07-01	-337.6504460194236	10.8
1841-07-01	-966.609871339364	10.8
1936-06-01	-1340.328784128445	10.8
1899-07-01	-745.2279690761533	10.8
2000-09-22	-1352.4787531884474	0.0
# 17
1977-07-01	-1390.981067973235	3.2
1971-07-01	-1586.7495617902932	3.2
1871-07-01	-637.7683431360675	10.8
1871-07-01	-322.223452753198	10.8
1841-07-01	-947.7735604445836	10.8
1936-06-01	-1335.1247140225921	10.8
1899-07-01	-737.0258783671682	10.8
2000-09-22	-1341.5856435545932	0.0
# 18
1977-07-01	-1368.343309888374	3.2
1971-07-01	-1525.2918003653758	3.2
1871-07-01	-647.9994556071887	10.8
1871-07-01	-304.11498211547354	10.8
1841-07-01	-944.4072244598739	10.8
1950-07-01	-1967.726433065824	10.8
1936-06-01	-1329.517842987988	10.8
1899-07-01	-727.2953421647952	10.8
2000-09-22	-1339.8170665751286	0.0
# 19
1977-07-01	-1344.8185513452802	3.2
1971-07-01	-1505.4790237241734	3.2
1871-07-01	-653.1437630910467	10.8
1871-07-01	-287.28934720714847	10.8
1841-07-01	-1647.5966966212754	10.8
1950-07-01	-1987.7573298749567	10.8
1936-06-01	-1323.8878688144323	10.8
1899-07-01	-717.4120463305112	10.8
2000-09-22	-1341.203844043952	0.0
# 20
1977-07-01	-1322.878530127551	3.2
1971-07-01	-1491.4766801353505	3.2
1871-07-01	-671.7282532765902	10.8
1871-07-01	-271.23673745835066	10.8
