"id","bbox_id","item_type","summary_id","attr","name","type","ribbonable","show_children","enabled"
"uber","1","uber","1","","Uber","mixed","false","true","true"
"CAckxGz","2","aggregation","2","","Extreme_storms","mixed","false","true","true"
"CAkR645","3","aggregation","3","","ShorelineChange","historical","false","true","true"
"CARv9Z5","4","aggregation","4","","sea_level_rise","vulnerability","false","true","true"
