id,bbox
1,"BOX( -124.7608 24.5485,-66.95779 48.38805)"
2,"BOX( -124.7608 24.5485,-66.95779 48.38805)"
3,"BOX( -124.7608 24.5485,-66.95779 48.38805)"
4,"BOX( -124.7608 24.5485,-66.95779 48.38805)"
